m.ref,spec.r,group.r,date,month,year,latwgs84,longwgs84,sex,age.r
M141/03,Harbour porpoise,Harbour porpoise,31/03/2003,3,2003,55.99320602,-3.412345409,M,juvenile
M143/03,Harbour porpoise,Harbour porpoise,03/04/2003,4,2003,57.68082047,-2.576806068,F,juvenile
M144/03,Sperm whale,Deep Divers,04/04/2003,4,2003,59.28805923,-2.465103149,M,adult
M158/03,Atlantic white-sided dolphin,Pelagic Dolphins,06/04/2003,4,2003,57.24772644,-7.428884029,M,adult
M148/03,Harbour porpoise,Harbour porpoise,09/04/2003,4,2003,57.75209427,-3.915509701,M,juvenile
M149/03,Harbour porpoise,Harbour porpoise,10/04/2003,4,2003,57.67473221,-3.091446877,F,juvenile
M150/03,Harbour porpoise,Harbour porpoise,11/04/2003,4,2003,57.67991638,-2.326945782,F,juvenile
M151/03,Long-finned pilot whale,Pelagic Dolphins,11/04/2003,4,2003,58.58378983,-4.765967846,U,unknown
M152/03,Harbour porpoise,Harbour porpoise,14/04/2003,4,2003,58.00918961,-3.84460187,M,adult
M153/03,Harbour porpoise,Harbour porpoise,14/04/2003,4,2003,57.24197006,-2.043043613,U,unknown
M154/03A,Harbour porpoise,Harbour porpoise,14/04/2003,4,2003,55.99320602,-3.412345409,M,juvenile
M154/03B,Harbour porpoise,Harbour porpoise,14/04/2003,4,2003,55.99320602,-3.412345409,F,juvenile
M156/03,Harbour porpoise,Harbour porpoise,19/04/2003,4,2003,57.69204712,-4.02140379,F,juvenile
M159/03,Minke whale,Baleen Whales,19/04/2003,4,2003,56.94796753,-7.450987339,M,adult
